time,weather,probe
2018-06-29 02:06,64.4,66.65
2018-06-29 02:36,62.6,65.75
2018-06-29 03:06,62.6,64.96
2018-06-29 03:37,62.6,64.29
2018-06-29 04:07,62.6,63.61
2018-06-29 04:37,60.8,62.94
2018-06-29 05:07,60.8,62.38
2018-06-29 05:37,60.8,61.81
2018-06-29 06:07,60.8,61.25
2018-06-29 06:37,60.8,60.91
2018-06-29 07:07,60.8,60.58
2018-06-29 07:37,62.6,60.58
2018-06-29 08:07,64.4,60.80
2018-06-29 08:37,66.2,61.14
2018-06-29 09:07,64.4,61.81
2018-06-29 09:37,75.2,62.83
2018-06-29 10:07,78.8,63.84
2018-06-29 10:37,82.4,65.19
2018-06-29 11:07,84.2,66.54
2018-06-29 11:37,86.0,68.11
2018-06-29 12:07,91.4,69.91
2018-06-29 12:37,93.2,71.71
2018-06-29 13:07,93.2,74.08
2018-06-29 13:37,93.2,76.66
2018-06-29 14:07,93.2,78.91
2018-06-29 14:37,95.0,81.16
2018-06-29 15:07,95.0,83.53
2018-06-29 15:37,96.8,85.89
2018-06-29 16:07,96.8,87.91
2018-06-29 16:37,96.8,89.26
2018-06-29 17:08,96.8,89.71
2018-06-29 17:38,95.0,89.94
2018-06-29 18:08,95.0,89.83
2018-06-29 18:38,95.0,90.95
2018-06-29 19:08,95.0,92.75
2018-06-29 19:38,95.0,93.99
2018-06-29 20:08,93.2,93.99
2018-06-29 20:38,91.4,92.75
2018-06-29 21:08,89.6,91.18
2018-06-29 21:38,84.2,89.60
2018-06-29 22:08,84.2,87.91
2018-06-29 22:38,78.8,86.45
2018-06-29 23:08,78.8,84.88
2018-06-29 23:38,75.2,83.30
2018-06-30 00:08,75.2,81.72
2018-06-30 00:38,71.6,80.26
2018-06-30 01:08,69.8,78.80
2018-06-30 01:38,68.0,77.45
2018-06-30 02:08,68.0,76.10
2018-06-30 02:38,66.2,74.86
2018-06-30 03:08,66.2,73.74
2018-06-30 03:38,64.4,72.50
2018-06-30 04:08,64.4,71.49
2018-06-30 04:38,64.4,70.59
2018-06-30 05:08,64.4,69.58
2018-06-30 05:38,64.4,68.79
2018-06-30 06:09,64.4,68.00
2018-06-30 06:39,64.4,67.33
2018-06-30 07:09,64.4,66.88
2018-06-30 07:39,66.2,66.76
2018-06-30 08:09,68.0,66.88
2018-06-30 08:39,82.4,67.33
2018-06-30 09:09,73.4,68.11
2018-06-30 09:39,84.2,69.12
2018-06-30 10:09,86.0,70.36
2018-06-30 10:39,91.4,71.83
2018-06-30 11:09,91.4,73.18
2018-06-30 11:39,95.0,74.97
2018-06-30 12:09,95.0,77.00
2018-06-30 12:39,96.8,79.03
2018-06-30 13:09,96.8,81.39
2018-06-30 13:39,98.6,83.86
2018-06-30 14:09,98.6,86.00
2018-06-30 14:39,100.4,88.14
2018-06-30 21:38,87.8,89.26
2018-06-30 22:08,82.4,87.58
2018-06-30 22:38,86.0,86.11
2018-06-30 23:08,78.8,84.54
2018-06-30 23:38,77.0,83.08
2018-07-01 00:08,71.6,81.72
2018-07-01 00:38,71.6,80.49
2018-07-01 01:08,71.6,78.69
2018-07-01 01:38,68.0,77.00
2018-07-01 02:08,68.0,75.54
2018-07-01 02:38,71.6,74.19
2018-07-01 03:08,66.2,72.95
2018-07-01 03:38,69.8,71.83
2018-07-01 04:09,69.8,70.81
2018-07-01 04:39,68.0,69.80
2018-07-01 05:09,68.0,68.90
2018-07-01 05:39,66.2,68.11
2018-07-01 06:09,66.2,67.21
2018-07-01 06:39,66.2,66.65
2018-07-01 07:09,66.2,66.09
2018-07-01 07:39,66.2,65.86
2018-07-01 08:09,69.8,65.97
2018-07-01 08:39,73.4,66.31
2018-07-01 09:09,73.4,66.99
2018-07-01 09:39,77.0,67.78
2018-07-01 10:09,80.6,68.45
2018-07-01 10:39,73.4,69.35
2018-07-01 11:09,84.2,70.25
2018-07-01 11:39,87.8,71.26
2018-07-01 12:09,89.6,72.50
2018-07-01 12:39,93.2,74.08
2018-07-01 13:09,93.2,75.99
2018-07-01 13:39,93.2,78.01
2018-07-01 14:09,93.2,79.81
2018-07-01 14:39,95.0,81.05
2018-07-01 15:09,95.0,82.18
2018-07-01 15:39,95.0,83.19
2018-07-01 16:09,95.0,84.09
2018-07-01 16:39,93.2,84.20
2018-07-01 17:09,93.2,83.64
2018-07-01 17:40,89.6,82.85
2018-07-01 18:10,89.6,81.95
2018-07-01 18:40,87.8,81.72
2018-07-01 19:10,87.8,81.61
2018-07-01 19:40,82.4,80.49
2018-07-01 20:10,73.4,78.58
2018-07-01 20:40,77.0,76.33
2018-07-01 21:10,71.6,74.19
2018-07-01 21:40,71.6,72.50
2018-07-01 22:10,68.0,71.04
2018-07-01 22:40,68.0,69.69
2018-07-01 22:25,66.2,69.12
2018-07-01 23:26,66.2,68.00
2018-07-01 23:56,66.2,66.99
2018-07-02 00:26,66.2,66.09
2018-07-02 00:56,64.4,65.30
2018-07-02 01:26,64.4,64.62
2018-07-02 01:56,64.4,64.06
2018-07-02 02:27,64.4,63.50
2018-07-02 02:57,64.4,63.05
2018-07-02 03:27,64.4,62.60
2018-07-02 03:57,62.6,62.26
2018-07-02 04:27,62.6,61.92
2018-07-02 04:57,64.4,61.59
2018-07-02 05:27,62.6,61.25
2018-07-02 05:57,60.8,61.03
2018-07-02 06:27,62.6,60.80
2018-07-02 06:57,62.6,60.69
2018-07-02 07:27,62.6,60.58
2018-07-02 07:57,62.6,60.69
2018-07-02 08:27,64.4,60.80
2018-07-02 08:57,64.4,61.25
2018-07-02 09:27,68.0,61.70
2018-07-02 09:57,68.0,62.38
2018-07-02 10:27,71.6,63.28
2018-07-02 10:57,71.6,64.29
2018-07-02 11:27,75.2,65.53
2018-07-02 11:57,77.0,66.99
2018-07-02 12:27,78.8,68.68
